0	B	It is always said that competition can effectively promote the development of economy
0	I	In order to survive in the competition , companies continue to improve their products and service , and as a result , the whole society prospers
0	I	However , when we discuss the issue of competition or cooperation , what we are concerned about is not the whole society , but the development of an individual ' s whole life
0	I	From this point of view , I firmly believe that we should attach more importance to cooperation during primary education .
0	B	First of all , through cooperation , children can learn about interpersonal skills which are significant in the future life of all students
0	I	What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others
0	I	During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred
0	I	All of these skills help them to get on well with other people and will benefit them for the whole life .
0	B	On the other hand , the significance of competition is that how to become more excellence to gain the victory
0	I	Hence it is always said that competition makes the society more effective
0	I	However , when we consider about the question that how to win the game , we always find that we need the cooperation
0	I	The greater our goal is , the more competition we need
0	I	Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care
0	I	The winner is the athlete but the success belongs to the whole team
0	I	Therefore without the cooperation , there would be no victory of competition .
0	B	Consequently , no matter from the view of individual development or the relationship between competition and cooperation we can receive the same conclusion that a more cooperative attitudes towards life is more profitable in one ' s success .
1	B	The last 50 years have seen an increasing number of immigrants to other countries
1	I	People moved due to a number of reasons , namely better educations or higher salary jobs
1	I	Some people thought that they should follow the local customs in order to integrate into their adopted countries ’ cultures
1	I	However I strongly believe that they are able to sustain their cultural identities and doing so help they keep their origin values .
1	B	Firstly , maintaining one ’ s cultural identity is a key important rule to help individuals emerge in the new multicultural environments
1	I	Take Australia for example , immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues
1	I	Many Australians come this day to enjoy the shows , learn about the cultures and admire the diverse values
1	I	These feedbacks , in turn , help raise one ’ s pride of their cultures and help people understand each other more
1	I	Thus this makes it clear that sustaining the cultural values of immigrants is paramount essential .
1	B	Secondly , it is crucial to keep one ’ s identity for they need a connection back to their country as well as teach their children their value of origin
1	I	For instance , children immigrated to a new country will face social troubles in school with new friends
1	I	In this new environment , parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home
1	I	Fail to create this familiarity makes them felt isolated , in the extreme can lead to social disorder like autism
1	I	Hence , it is clear that keeping the cultural traditions in the destination countries is tremendous important .
1	B	To conclude , although there are opposing ideas of neglecting one ’ s cultural values to adapt in the new cultures
1	I	As far as I am concerned , sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society .
2	B	The last decade has seen an increasing number of tourists traveling to visit natural wonder sights , ancient heritages and different cultures around the world
2	I	While some people might think that this international tourism has negative effects on the destination countries , I would contend that it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations .
2	B	Firstly , international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists
2	I	Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores
2	I	These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard
2	I	Therefore tourism has clearly improved lives in the tourist country .
2	B	Secondly , through tourism industry , many cultural values have been preserved and natural environments have been protected
2	I	For instance , in Vietnam , many cultural costumes and natural scenes , namely ‘ Trong Dong ’ drum performance and ‘ Ha Long ’ bay , are being encouraged to preserve and funded by the tourism ministry
2	I	Without this support and profit from tourism , many traditional cultures would disappear due to its low income works
2	I	Thus , tourism has survived many non - tangible cultural values and beauty scenes .
2	B	To conclude , as far as I am concerned , international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries
2	I	In addition , the authorities should adequately support these sustainable developments .
3	B	The internet has been more and more popular for recent years , providing people with a huge source of information
3	I	As a result of this , print media such as newspapers have experienced a dramatic decline in the number of readers
3	I	Some people , however , still believe that they can exist for long time ; others disagree , arguing that newspapers have lost their competitive advantage to sustain their prolonged existence
3	I	Personally , I am inclined to agree with the latter view for following reasons .
3	B	First of all , to obtain information , using the internet is quicker and more convenient than reading newspapers
3	I	Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime
3	I	As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages
3	I	Hence , the print media has failed to keep its important role in the provision of information .
3	B	Another point is that , from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one
3	I	It is clear to recognize that the internet service is being provided at a low cost or even free in many countries
3	I	The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ? The answer , perhaps , is that hardly would rational people do so
3	I	For this reason , the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time .
3	B	Last , but not least , when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down
3	I	This is simply the contributor to the deforestation which is happening all over the world today
3	I	At this point , newspapers ' production will have to face environmentalists on its way to be alive .
3	O	In conclusion , it might be unpleasant for some advocating newspapers to witness the extinction of the type of media
3	O	However , this , if occurring , should be seen as a result of the ever - increasing innovations in media technology and in our modern life as a whole .
4	B	 Education is the investment in our future , as Senator Bernie Sanders once pointed out , education , which fosters a civilized society , plays a significant role in a country ' s long - lasting prosperity
4	I	It is no wonder that governments throughout the world lay special emphasis on education development
4	I	As for the two integral components within the system , elementary and advanced education , there ' s no doubt that a government is supposed to offer sufficient financial support for both .
4	B	Concerning that elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society , government should guarantee that all people have equal and convenient access to it
4	I	So a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development
4	I	In other words , if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education .
4	B	That ' s not enough , for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance
4	I	The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community
4	I	Some may argue that universities can support themselve well by donation or invention , but this argument is invalid
4	I	Researches into humanities and art still need large amount of money , what ' s more , government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide .
